,dt,equity,balance
0,2021-11-16 02:34:00,0,0
1,2021-11-16 02:35:00,0,0
2,2021-11-16 02:36:00,0,0
3,2021-11-16 02:37:00,0,0
4,2021-11-16 02:38:00,0,0
5,2021-11-16 02:39:00,0,0
6,2021-11-16 02:40:00,0,0
7,2021-11-16 02:41:00,0,0
8,2021-11-16 02:42:00,0,0
9,2021-11-16 02:43:00,0,0
10,2021-11-16 02:44:00,0,0
11,2021-11-16 02:45:00,0,0
12,2021-11-16 02:46:00,0,0
13,2021-11-16 02:47:00,0,0
14,2021-11-16 02:48:00,0,0
15,2021-11-16 02:49:00,0,0
16,2021-11-16 02:50:00,0,0
17,2021-11-16 02:51:00,0,0
18,2021-11-16 02:52:00,0,0
19,2021-11-16 02:53:00,0,0
20,2021-11-16 02:54:00,0,0
21,2021-11-16 02:55:00,0,0
22,2021-11-16 02:56:00,0,0
23,2021-11-16 02:57:00,0,0
24,2021-11-16 02:58:00,0,0
25,2021-11-16 02:59:00,0,0
26,2021-11-16 03:00:00,0,0
27,2021-11-16 03:01:00,0,0
28,2021-11-16 03:02:00,0,0
29,2021-11-16 03:03:00,0,0
30,2021-11-16 03:04:00,0,0
31,2021-11-16 03:05:00,0,0
32,2021-11-16 03:06:00,0,0
33,2021-11-16 03:07:00,0,0
34,2021-11-16 03:08:00,0,0
35,2021-11-16 03:09:00,0,0
36,2021-11-16 03:10:00,0,0
37,2021-11-16 03:11:00,0,0
38,2021-11-16 03:12:00,0,0
39,2021-11-16 03:13:00,0,0
40,2021-11-16 03:14:00,0,0
41,2021-11-16 03:15:00,0,0
42,2021-11-16 03:16:00,0,0
43,2021-11-16 03:17:00,0,0
44,2021-11-16 03:18:00,0,0
45,2021-11-16 03:19:00,0,0
46,2021-11-16 03:20:00,0,0
47,2021-11-16 03:21:00,0,0
48,2021-11-16 03:22:00,0,0
49,2021-11-16 03:23:00,0,0
50,2021-11-16 03:24:00,0,0
51,2021-11-16 03:25:00,0,0
52,2021-11-16 03:26:00,0,0
53,2021-11-16 03:27:00,0,0
54,2021-11-16 03:28:00,0,0
55,2021-11-16 03:29:00,0,0
56,2021-11-16 03:30:00,0,0
57,2021-11-16 03:31:00,0,0
58,2021-11-16 03:32:00,0,0
59,2021-11-16 03:33:00,0,0
60,2021-11-16 03:34:00,0,0
61,2021-11-16 03:35:00,0,0
62,2021-11-16 03:36:00,0,0
63,2021-11-16 03:37:00,0,0
64,2021-11-16 03:38:00,0,0
65,2021-11-16 03:39:00,0,0
66,2021-11-16 03:40:00,0,0
67,2021-11-16 03:41:00,0,0
68,2021-11-16 03:42:00,0,0
69,2021-11-16 03:43:00,0,0
70,2021-11-16 03:44:00,0,0
71,2021-11-16 03:45:00,0,0
72,2021-11-16 03:46:00,0,0
73,2021-11-16 03:47:00,0,0
74,2021-11-16 03:48:00,0,0
75,2021-11-16 03:49:00,0,0
76,2021-11-16 03:50:00,0,0
77,2021-11-16 03:51:00,0,0
78,2021-11-16 03:52:00,0,0
79,2021-11-16 03:53:00,0,0
80,2021-11-16 03:54:00,0,0
81,2021-11-16 03:55:00,0,0
82,2021-11-16 03:56:00,0,0
83,2021-11-16 03:57:00,0,0
84,2021-11-16 03:58:00,0,0
85,2021-11-16 03:59:00,0,0
86,2021-11-16 04:00:00,0,0
87,2021-11-16 04:01:00,0,0
88,2021-11-16 04:02:00,0,0
89,2021-11-16 04:03:00,0,0
90,2021-11-16 04:04:00,-7.200000000000273,0
91,2021-11-16 04:05:00,-16.499999999998636,0
92,2021-11-16 04:06:00,-7.799999999999726,0
93,2021-11-16 04:07:00,0.8999999999991815,0
94,2021-11-16 04:08:00,4.800000000002456,0
95,2021-11-16 04:09:00,5.700000000001637,0
96,2021-11-16 04:10:00,3.9000000000032737,0
97,2021-11-16 04:11:00,10.80000000000382,0
98,2021-11-16 04:12:00,12.300000000002456,0
99,2021-11-16 04:13:00,13.500000000001364,0
100,2021-11-16 04:14:00,17.399999999997817,0
101,2021-11-16 04:15:00,22.799999999999727,22.799999999999727
102,2021-11-16 04:16:00,22.799999999999727,22.799999999999727
103,2021-11-16 04:17:00,22.799999999999727,22.799999999999727
104,2021-11-16 04:18:00,22.799999999999727,22.799999999999727
105,2021-11-16 04:19:00,22.799999999999727,22.799999999999727
106,2021-11-16 04:20:00,22.799999999999727,22.799999999999727
107,2021-11-16 04:21:00,22.799999999999727,22.799999999999727
108,2021-11-16 04:22:00,22.799999999999727,22.799999999999727
109,2021-11-16 04:23:00,22.799999999999727,22.799999999999727
110,2021-11-16 04:24:00,22.799999999999727,22.799999999999727
111,2021-11-16 04:25:00,22.799999999999727,22.799999999999727
112,2021-11-16 04:26:00,22.799999999999727,22.799999999999727
113,2021-11-16 04:27:00,22.799999999999727,22.799999999999727
114,2021-11-16 04:28:00,22.799999999999727,22.799999999999727
115,2021-11-16 04:29:00,22.799999999999727,22.799999999999727
116,2021-11-16 04:30:00,22.799999999999727,22.799999999999727
117,2021-11-16 04:31:00,22.799999999999727,22.799999999999727
118,2021-11-16 04:32:00,22.799999999999727,22.799999999999727
119,2021-11-16 04:33:00,-0.8999999999991815,22.799999999999727
120,2021-11-16 04:34:00,1.799999999998363,22.799999999999727
121,2021-11-16 04:35:00,15.0,22.799999999999727
122,2021-11-16 04:36:00,7.799999999999727,22.799999999999727
123,2021-11-16 04:37:00,-6.300000000001091,22.799999999999727
124,2021-11-16 04:38:00,-18.000000000004093,22.799999999999727
125,2021-11-16 04:39:00,-12.90000000000191,22.799999999999727
126,2021-11-16 04:40:00,-5.700000000001637,22.799999999999727
127,2021-11-16 04:41:00,22.5,22.799999999999727
128,2021-11-16 04:42:00,5.399999999995089,22.799999999999727
129,2021-11-16 04:43:00,20.699999999994816,22.799999999999727
130,2021-11-16 04:44:00,23.69999999999891,22.799999999999727
131,2021-11-16 04:45:00,19.19999999999618,22.799999999999727
132,2021-11-16 04:46:00,8.099999999999456,22.799999999999727
133,2021-11-16 04:47:00,7.799999999999727,22.799999999999727
134,2021-11-16 04:48:00,13.199999999994816,22.799999999999727
135,2021-11-16 04:49:00,16.19999999999891,22.799999999999727
136,2021-11-16 04:50:00,14.100000000000819,22.799999999999727
137,2021-11-16 04:51:00,20.999999999994543,22.799999999999727
138,2021-11-16 04:52:00,16.499999999998636,22.799999999999727
139,2021-11-16 04:53:00,17.699999999997544,22.799999999999727
140,2021-11-16 04:54:00,17.699999999997544,22.799999999999727
141,2021-11-16 04:55:00,20.999999999994543,22.799999999999727
142,2021-11-16 04:56:00,23.099999999999454,22.799999999999727
143,2021-11-16 04:57:00,25.799999999997,22.799999999999727
144,2021-11-16 04:58:00,13.499999999994543,22.799999999999727
